,name,category,cost,rating,num_of_rates,open_hours,Wi-Fi,Десерт,Паркувальний майданчик для людей на інвалідних візках,Години знижок на їжу,Підходить для сімейного відпочинку,Пізні вечері,Дитяче меню,Є вегетаріанські страви,Дебетові картки,Салат-бар,Пиво,Груповий відпочинок,Органічні страви,Камін,Обіди,Оплата лише готівкою,Халяльна їжа,Затишне місце,Туалет,Невимушена атмосфера,Бар,Туалет із доступом для інвалідів,Високі стільці,Спортивні змагання,"Компанії, якими керують жінки",Мобільні платежі через NFC,Доставка,Місця для сидіння,Підходить для дітей,Вхід для людей на інвалідних візках,Місця для людей на інвалідних візках,Жива музика,Вечері,Сніданки,Кредитні картки,Літній майданчик,Чеки,Вино,Смачні коктейлі
17,Pho Lovers Bistro,Ресторан,$,"4,6",(338),10:30–21:30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PAUL,Ресторан,$$,"3,9",(283),08:00–18:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,Folk Gospoda,Ресторан польської кухні,$$,"4,4",(3 129),12:00–00:00,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
20,"Restauracja ""Słoik""",Ресторан,$$,"4,3",(4 119),09:00–00:00,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
21,Uprzejmie Donoszę,Ресторан,$$,"3,7",(148),Відкрив. о 16:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22,Secado,Ресторан,$$,"4,3",(2 274),12:00–01:00,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,Witaly-Restauracja-Pizzeria-Drink Bar - Smoke Bar,Ресторан італійської кухні,$$,"4,0",(343),12:00–02:30,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Asado Mezze & Grill,Ресторан,$,"4,4",(446),10:30–03:00,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0
25,Канапа,Ресторан,$$,"4,7",(830),12:00–00:00,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1
26,Lokanta,Ресторан турецької кухні,$$,"4,2",(1 011),11:00–00:00,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
27,Tel Aviv Urban Food,Веганський ресторан,$$,"4,5",(2 416),10:00–02:00,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
28,Arirang Restaurant,Ресторан корейської кухні,$$,"4,2",(511),12:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,У сестер,Ресторан української кухні,$$,"4,4",(870),10:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
30,Lokal Vegan Bistro,Веганський ресторан,$,"4,7",(1 351),12:00–21:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
31,Oberża pod Czerwonym Wieprzem,Ресторан польської кухні,$$,"4,3",(2 788),12:00–00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Georgia,Ресторан грузинської кухні,$$,"4,2",(669),12:00–23:00,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
33,San Lorenzo,Ресторан,$$,"4,2",(728),12:00–23:00,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
34,UKI UKI,Ресторан автентичної японської кухні,$$,"4,7",(3 648),12:00–21:00,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Der Elefant,Ресторан,$$$,"4,5",(5 273),11:00–00:00,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
36,Little Georgia,Ресторан грузинської кухні,$$,"4,5",(1 376),11:30–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
37,Raj w Niebie,Ресторан гавайської кухні,$$,"4,3",(787),Відкрив. о 16:00,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0
38,Vietnamka,Ресторан в'єтнамської кухні,$$,"4,5",(636),12:00–22:00,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
39,Du-za Mi-ha,Ресторан азійської кухні,$,"4,3",(3 507),10:00–00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Uprzejmie Donoszę,Ресторан,$$,"3,7",(148),Відкрив. о 16:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,Secado,Ресторан,$$,"4,3",(2 274),12:00–01:00,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,Xin Chào,Ресторан,$,"4,4",(391),10:00–21:30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,Waffle Bar,Ресторан нової американської кухні,$$,"4,6",(1 001),09:00–21:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,The Cool Cat TR,Ресторан,$$,"4,3",(362),09:00–22:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,Dos Tacos - Mexican Grill,Ресторан мексиканської кухні,$$,"4,3",(1 891),12:00–00:00,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
46,Restauracja Sahara,Ресторан близькосхідної кухні,$,"3,1",(1 202),Відкрито 24 години,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,Na Lato,Ресторан,$$,"4,3",(3 187),08:30–05:00,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
48,Casa Pablo,Ресторан іспанської кухні,$$$,"4,5",(406),12:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,IKAT - restauracja uzbecka na Powiślu - Warszawa Śródmieście,Ресторан,$$,"4,3",(288),12:00–22:00,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
50,Charlotte,Ресторан французької кухні,$$,"4,1",(2 405),07:00–01:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CUD MIÓD,Ресторан європейської кухні,$$,"4,4",(2 232),08:00–01:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,Restauracja Gruby Josek,Ресторан,$$,"4,6",(408),12:00–23:00,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
53,"Namaste India : Indian Restaurant, Warsaw",Ресторан індійської кухні,$$,"4,4",(1 637),11:00–23:00,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0
54,Leonardo Verde,Веганський ресторан,$$,"4,4",(1 311),12:00–00:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55,KROMKI,Ресторан,$$,"4,6",(480),09:00–23:00,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0
56,Opasły Tom,Ресторан,$$$,"4,6",(386),12:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,UKIM,Ресторан азіатської фьюжн-кухні,$$,"4,7",(545),11:30–22:00,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
58,Sol y Sombra Tapas Bar,Ресторан тапас,$$,"4,5",(1 035),11:00–23:00,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
59,The Cool Cat,Ресторан азійської кухні,$$,"4,5",(1 202),09:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Uprzejmie Donoszę,Ресторан,$$,"3,7",(148),Відкрив. о 16:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
61,Secado,Ресторан,$$,"4,3",(2 274),12:00–01:00,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
62,TGI Fridays,Ресторан американської кухні,$$$,"4,4",(2 276),11:00–00:00,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0
63,Cesarski Pałac,Ресторан китайської кухні,$$,"3,9",(274),12:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Sobremesa Tapas Bar,Бар тапас,$$,"4,3",(532),09:00–01:00,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
65,Wabu Sushi Bar & Japanese Tapas,Ресторан суші,$$$,"4,5",(1 011),12:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,Nancy Lee,Кафе,$$,"4,6",(444),09:00–20:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
67,Vegemiasto,Веганський ресторан,$$,"4,6",(2 082),12:00–21:00,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0
68,To To Pho,Ресторан в'єтнамської кухні,$,"4,4",(702),09:00–21:30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Pizzeria Złota,Піцерія,$$,"4,4",(702),12:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70,Vapiano,Ресторан італійської кухні,$$,"4,1",(2 965),11:00–23:00,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
71,Mamma Mia,Піцерія,$$,"4,1",(1 439),Відкрито 24 години,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
72,Barn Burger,Ресторан гамбургерів,$$,"4,7",(4 537),12:00–22:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,Lalka Marszałkowska,Креперія,$,"4,2",(1 527),11:00–22:00,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0
74,KFC Zodiak,Заклад швидкого харчування,$$,"4,0",(2 157),08:00–03:00,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
75,Zapiexy Luxusowe,Заклад швидкого харчування,$,"4,4",(1 513),11:00–04:00,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
76,KFC,Ресторан,$$,"3,8",(2 482),07:00–04:45,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
77,KFC,Заклад швидкого харчування,$$,"3,8",(694),09:00–22:30,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
78,KFC warsaw MDM,Ресторан,$$,"3,7",(2 137),08:00–02:00,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
79,Manekin,Креперія,$,"4,6",(8 329),09:00–23:00,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0
80,Pizza Dominium,Піцерія,$$,"4,0",(673),11:00–00:00,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
81,Pizza Dominium,Піцерія,$$,"4,1",(214),11:00–00:00,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
82,Pijana Wiśnia / П'яна Вишня,Бар,$$,"4,7",(1 613),12:00–02:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
83,Etno Cafe Metro Politechnika,Кафе,$$,"4,5",(420),07:00–21:00,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
84,Атляс,Ресторан,$$,"4,5",(4 225),08:00–00:00,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
85,Дуже висока кухня,Ресторан,$$,"4,6",(354),Відкрив. о 16:00,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
86,Кілікія,Кафе,$$,"4,0",(263),10:00–22:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
87,BOBOTI,Ресторан,$$,"4,3",(587),10:00–23:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
88,Одеса,Ресторан,$$$,"4,6",(1 786),08:00–23:00,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
89,Оливка,Ресторан італійської кухні,$$,"4,6",(1 479),09:00–01:00,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
90,Кувшин,Ресторан грузинської кухні,$$$,"4,6",(2 051),11:00–00:00,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0
91,Таверна,Ресторан грецької кухні,$$$,"4,4",(1 080),12:00–00:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
92,Песто Кафе,Ресторан,$$,"4,4",(1 296),10:00–06:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
93,Євразія,Ресторан,$$,"4,2",(2 207),10:00–05:00,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
94,Argentina Grill,Ресторан,$$$,"4,7",(889),08:00–00:00,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
95,Первак,Ресторан української кухні,$$,"4,6",(4 241),11:00–02:00,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
96,Dellini,Ресторан,$$$,"4,6",(842),11:00–01:00,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1
